tweet_id;rating_numerator_x;rating_denominator_x;dog_stage;favorite_count;retweet_count;timestamp;source;text;dog_type
892420643555336193;13;10;doggo;39467.0;8853.0;2017-08-01 16:23:56 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU;    
892177421306343426;13;10;doggo;33819.0;6514.0;2017-08-01 00:17:27 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV;    
891815181378084864;12;10;doggo;25461.0;4328.0;2017-07-31 00:18:03 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB;    
891689557279858688;13;10;doggo;42908.0;8964.0;2017-07-30 15:58:51 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ;    
891327558926688256;12;10;doggo;41048.0;9774.0;2017-07-29 16:00:24 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f";    
891087950875897856;13;10;doggo;20562.0;3261.0;2017-07-29 00:08:17 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh;    
890971913173991426;13;10;doggo;12041.0;2158.0;2017-07-28 16:27:12 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl";    
890729181411237888;13;10;doggo;56848.0;16716.0;2017-07-28 00:22:40 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq;    
890609185150312448;13;10;doggo;28226.0;4429.0;2017-07-27 16:25:51 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b;    
890240255349198849;14;10;doggo;32467.0;7711.0;2017-07-26 15:59:51 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A;doggo   
890006608113172480;13;10;doggo;31166.0;7624.0;2017-07-26 00:31:25 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme;    
889880896479866881;13;10;doggo;28268.0;5156.0;2017-07-25 16:11:53 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g;    
889665388333682689;13;10;doggo;38818.0;8538.0;2017-07-25 01:55:32 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm;   puppo
889638837579907072;12;10;doggo;27672.0;4735.0;2017-07-25 00:10:02 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR;    
889531135344209921;13;10;doggo;15359.0;2321.0;2017-07-24 17:02:04 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq;   puppo
889278841981685760;13;10;doggo;25652.0;5637.0;2017-07-24 00:19:32 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb;    
888917238123831296;12;10;doggo;29611.0;4709.0;2017-07-23 00:22:39 +0000;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN;    
